City,Price,Day,Shared Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km)
Amsterdam,194.033698122935,Weekday,False,2,False,1,0,10,93,1,5.02296379808829,2.53938000259449
Amsterdam,344.245776017622,Weekday,False,4,False,0,0,8,85,1,0.488389288828984,0.239403922834986
Amsterdam,264.101422445106,Weekday,False,2,False,0,1,9,87,1,5.74831191515956,3.65162128879366
Amsterdam,433.529397979987,Weekday,False,4,False,0,1,9,90,2,0.384862012821602,0.439876076131916
Amsterdam,485.552925737586,Weekday,False,2,True,0,0,10,98,1,0.544738183429238,0.318692646841683
Amsterdam,552.808567478265,Weekday,False,3,False,0,0,8,100,2,2.13142008057136,1.90466824141084
Amsterdam,215.124317484123,Weekday,False,2,False,0,0,10,94,1,1.88109156437107,0.729746739030318
Amsterdam,2771.30738406018,Weekday,False,4,True,0,0,10,100,3,1.68680696520273,1.45840356622832
Amsterdam,1001.80441965646,Weekday,False,4,False,0,0,9,96,2,3.71914139865726,1.19611235287167
Amsterdam,276.521453846695,Weekday,False,2,False,1,0,10,88,1,3.1423614256297,0.924404438604663
Amsterdam,909.474374897476,Weekday,False,2,False,0,0,10,96,1,1.0099220248635,0.917115067927892
Amsterdam,319.640053429569,Weekday,False,2,True,1,0,10,97,1,2.18270710445159,1.59038136275141
Amsterdam,675.602840203407,Weekday,False,4,False,0,0,8,87,1,2.93304584329196,0.628073046672581
Amsterdam,552.808567478265,Weekday,False,2,True,0,0,10,100,1,1.30549393158984,1.34216240769095
Amsterdam,209.031471890891,Weekday,False,2,False,1,0,8,96,1,7.3045352665541,3.72081388562884
Amsterdam,368.851498605676,Weekday,False,2,True,0,0,10,98,1,1.03110060895927,0.557884534732064
Amsterdam,368.851498605676,Weekday,False,2,False,0,0,10,90,1,1.32779715743968,0.119528106734041
Amsterdam,337.918590209266,Weekday,False,2,True,1,0,10,97,1,1.36633423796711,0.53493345961055
Amsterdam,313.547207836337,Weekday,False,2,True,1,0,10,96,1,1.28975923030272,0.552116487785562
Amsterdam,447.589810887447,Weekday,False,2,False,1,0,9,93,1,1.05761933143645,1.06533912599909
Amsterdam,243.245143299042,Weekday,False,2,True,1,0,10,96,1,2.87063284380254,1.27889407511936
Amsterdam,933.845757270405,Weekday,False,4,False,0,0,10,96,2,1.01406642679186,0.377103687307555
Amsterdam,251.915731258641,Weekday,False,2,False,1,0,10,97,1,1.24708366697671,1.09877433764508
Amsterdam,377.287746350151,Weekday,False,2,False,0,0,10,98,1,1.16749230143493,0.983743003183535
Amsterdam,245.588545450285,Weekday,False,2,True,1,0,10,96,1,4.23063429670681,2.68714403993968
Amsterdam,217.702059850491,Weekday,False,2,False,1,0,8,93,1,4.18081473716799,2.80843797194201
Amsterdam,295.034330841516,Weekday,False,2,False,1,0,10,95,1,3.36601858238526,0.22588229930566
Amsterdam,295.034330841516,Weekday,False,2,False,0,0,10,94,1,4.12728001854418,0.839325384512376
Amsterdam,1032.97166826799,Weekday,False,4,False,1,0,9,96,2,2.16160761391017,1.42416942657583
Amsterdam,270.428608253462,Weekday,False,4,True,0,0,10,98,1,4.88547764075742,1.09483681131583
Amsterdam,524.687741663347,Weekday,False,2,False,0,1,9,89,1,1.12632697230557,1.12107054579802
Amsterdam,599.676610503129,Weekday,False,4,False,0,0,9,94,3,3.36359072469737,0.697422493836822
Amsterdam,516.017153703747,Weekday,False,4,False,0,0,9,100,2,1.07116834613958,0.38253540287555
Amsterdam,602.254352869496,Weekday,False,3,False,0,0,10,100,2,3.85629011289885,0.727962238844666
Amsterdam,504.065802732407,Weekday,False,4,False,0,0,9,94,2,4.07524788645374,1.87341099119857
Amsterdam,1609.91727790406,Weekday,False,6,False,1,0,10,96,3,2.9885887859177,1.7500029807371
Amsterdam,310.969465469969,Weekday,False,2,False,1,0,9,94,0,4.14708668567508,0.0383546937010648
Amsterdam,202.704286082535,Weekday,False,2,False,0,0,10,94,1,5.61175015551668,3.91172231585244
Amsterdam,796.288050992431,Weekday,False,4,False,0,0,10,94,2,2.85499166902967,1.70258337275249
Amsterdam,504.065802732407,Weekday,False,2,False,0,0,9,96,1,6.41165737248718,4.14322690407996
Amsterdam,319.640053429569,Weekday,False,2,False,0,1,10,95,1,0.540353868178227,0.338657742223119
Amsterdam,614.440044055961,Weekday,False,4,False,0,1,9,96,1,0.495828246257032,0.332742213290434
Amsterdam,467.040048742765,Weekday,False,3,False,0,1,10,94,1,0.5143556615735,0.277211122981216
Amsterdam,716.378037635039,Weekday,False,5,True,0,0,10,96,2,3.69500542587883,0.397527937593802
Amsterdam,350.10428139573,Weekday,False,2,False,1,0,10,91,0,1.09786925897544,0.956927964215038
Amsterdam,319.640053429569,Weekday,False,2,False,0,1,10,97,1,0.384611599710627,0.312638046231687
Amsterdam,467.040048742765,Weekday,False,3,False,0,1,10,96,1,0.471546542280126,0.143262948598286
Amsterdam,983.291542661636,Weekday,False,3,True,0,0,10,100,2,1.43051105771566,1.35258693537152
Amsterdam,298.783774283505,Weekday,False,2,True,0,0,9,94,0,4.22420858726289,1.51931104447681
Amsterdam,196.611440489302,Weekday,False,4,False,0,0,9,94,1,6.19827862898727,2.37126686169785
Amsterdam,430.248634968247,Weekday,False,2,False,0,0,10,96,1,3.01944085314297,0.792406622860474
Amsterdam,319.640053429569,Weekday,False,2,False,0,1,9,95,1,0.363345441249856,0.209639728815917
Amsterdam,405.642912380194,Weekday,False,4,True,0,0,9,98,1,5.03649771445056,1.24661088575081
Amsterdam,334.169146767277,Weekday,False,2,True,1,0,10,97,1,1.15176413284378,0.8970263744801
Amsterdam,491.880111545942,Weekday,False,2,False,0,1,9,98,1,0.375135063554944,0.190394602563414
Amsterdam,319.640053429569,Weekday,False,2,False,0,1,9,95,1,0.360506805181602,0.223506566549305
Amsterdam,780.352916363977,Weekday,False,4,False,0,1,10,100,5,1.39557890986769,0.857239330624339
Amsterdam,355.025425913341,Weekday,False,2,False,0,0,9,90,1,1.48337059398804,0.536238232806996
Amsterdam,1044.68867902421,Weekday,False,4,False,0,0,10,98,2,1.5059239672494,0.175794704274626
Amsterdam,847.842898319781,Weekday,False,4,False,0,0,10,98,3,1.26732846172113,1.15799974816084
Amsterdam,373.772643123286,Weekday,False,2,True,1,0,10,98,1,0.975069337866992,1.10499687765805
Amsterdam,613.268342980339,Weekday,False,4,False,1,0,9,84,1,0.227260676317608,0.459807359521903
Amsterdam,238.323998781431,Weekday,False,2,True,0,0,10,98,1,5.83943815614,3.83306453705615
Amsterdam,430.248634968247,Weekday,False,2,False,0,0,10,97,1,3.02952221558518,0.91124653073194
Amsterdam,347.995219459612,Weekday,False,3,False,0,1,6,77,2,4.41681688628728,0.446809352023861
Amsterdam,330.419703325288,Weekday,False,2,False,0,0,10,98,1,2.56405190362026,1.24815318778849
Amsterdam,1179.66864293581,Weekday,False,4,True,1,0,10,99,2,0.626568325274764,0.581534398334694
Amsterdam,259.180277927495,Weekday,False,2,True,1,0,10,98,1,5.2414841679505,0.671240520603083
Amsterdam,277.927495137441,Weekday,False,2,True,0,0,10,97,1,3.83291422506462,2.39180122980794
Amsterdam,467.040048742765,Weekday,False,3,False,0,0,9,96,2,2.38789078083822,1.43039443196217
Amsterdam,583.741475874675,Weekday,False,2,True,0,0,10,99,1,2.57284332136076,1.47244096750299
Amsterdam,374.944344198908,Weekday,False,4,False,0,1,6,88,1,0.94452133382463,0.727107430854455
Amsterdam,372.366601832541,Weekday,False,2,False,0,0,10,97,1,3.89325419363755,0.657433674851632
Amsterdam,479.225739929229,Weekday,True,2,True,0,0,10,96,1,1.37724299963528,0.0779166156732898
Amsterdam,454.8543575563,Weekday,False,2,True,0,0,10,98,1,2.28494468474987,1.82755552382394
Amsterdam,206.453729524524,Weekday,False,2,False,0,0,9,95,1,6.79281178529689,2.44381700312133
Amsterdam,497.73861692405,Weekday,False,2,False,1,0,10,95,1,1.09505336514071,0.985206907313854
Amsterdam,399.550066786961,Weekday,False,2,True,0,0,10,97,1,9.3355189205058,0.380485890331079
Amsterdam,761.840039369156,Weekday,False,4,False,0,0,9,93,2,1.09118232606682,1.21667487188568
Amsterdam,317.062311063202,Weekday,False,2,False,1,0,8,90,1,2.63223794016304,1.17216707822559
Amsterdam,319.405713214445,Weekday,False,2,False,0,0,10,96,1,0.353081957803128,0.49573391829028
Amsterdam,209.031471890891,Weekday,False,2,True,1,0,10,97,1,4.68772516501575,3.63203143779964
Amsterdam,209.031471890891,Weekday,False,2,True,1,0,10,98,1,4.61247556274807,3.62593254890168
Amsterdam,640.45180793476,Weekday,False,2,False,0,0,9,96,1,1.7326208039228,0.504430856064857
Amsterdam,209.031471890891,Weekday,False,2,True,1,0,10,98,1,4.68689685387767,3.59589323979154
Amsterdam,934.08009748553,Weekday,False,4,True,1,0,10,96,1,1.11991504967501,0.3824055698576
Amsterdam,210.203172966513,Weekday,False,2,False,1,0,9,88,1,2.47889535174736,1.33344414516385
Amsterdam,221.217163077356,Weekday,False,2,False,0,0,9,94,1,6.05898867466471,1.74816716737242
Amsterdam,441.26262507909,Weekday,False,2,False,1,0,10,91,1,0.792226218144255,0.733824316750765
Amsterdam,325.498558807677,Weekday,False,2,False,1,0,8,80,1,0.924999602142323,0.781788023579137
Amsterdam,792.772947765566,Weekday,False,4,False,0,0,10,97,2,5.90207623209414,1.94055432328779
Amsterdam,213.952616408502,Weekday,False,2,True,0,0,10,93,1,7.01790675436861,0.218256442909029
Amsterdam,1557.19072950109,Weekday,False,4,True,0,0,9,98,2,0.750394577976171,0.808682884457755
Amsterdam,317.062311063202,Weekday,False,2,True,0,0,10,99,1,3.40089688450538,1.51264882569433
Amsterdam,319.640053429569,Weekday,False,2,True,0,0,10,95,1,3.40309848594951,0.707723227211394
Amsterdam,1044.68867902421,Weekday,False,2,False,0,0,10,98,1,3.0030686360809,1.63446341922928
Amsterdam,310.969465469969,Weekday,False,2,False,0,0,9,94,1,3.57140078670821,2.61974869903979
Amsterdam,295.034330841516,Weekday,False,2,False,0,0,9,92,1,4.6654114118221,2.9774802400834
Amsterdam,344.245776017622,Weekday,False,2,False,0,0,7,82,0,4.15707017259549,0.101231819172681
Amsterdam,3004.94457853912,Weekday,False,4,False,0,0,9,95,4,1.61529472873922,1.40253934446003
Amsterdam,539.216835001055,Weekday,False,2,False,0,0,10,98,1,3.78133105919903,0.92021371089354
Amsterdam,460.947203149533,Weekday,False,2,True,0,0,10,98,1,0.58518293169997,0.401275176970096
Amsterdam,1376.51442364024,Weekday,False,4,True,0,1,10,93,2,1.93070165922095,1.58582525022367
Amsterdam,415.485201415415,Weekday,False,4,True,1,0,10,98,1,5.03923317589222,1.73048660273905
Amsterdam,215.124317484123,Weekday,False,2,True,0,0,10,95,1,3.59922212009322,2.46004606383989
Amsterdam,393.457221193729,Weekday,False,2,True,0,0,10,97,1,1.49936314123436,0.231482215244201
Amsterdam,232.231153188199,Weekday,False,2,False,0,0,10,97,0,3.71667932629317,1.5569628923101
Amsterdam,774.260070770745,Weekday,False,2,True,0,0,10,100,1,1.81054031891411,0.520316940467571
Amsterdam,291.050547184402,Weekday,False,2,False,0,0,9,90,1,0.653966981972201,0.351082698008669
Amsterdam,604.597755020739,Weekday,False,4,True,1,0,10,95,1,1.8831520950903,0.706728656962959
Amsterdam,467.040048742765,Weekday,False,2,False,0,0,10,97,1,1.40711020075407,1.38140781016854
Amsterdam,744.498863449957,Weekday,False,2,False,0,0,10,92,0,2.67809200145374,1.84409447760116
Amsterdam,250.74403018302,Weekday,False,2,True,1,0,10,94,1,2.06157655464039,1.55817716780282
Amsterdam,544.137979518665,Weekday,False,4,True,1,0,10,97,2,1.7922375062525,1.874873288967
Amsterdam,424.155789375015,Weekday,False,2,False,0,0,10,97,1,3.34264805071934,0.647097191952299
Amsterdam,675.602840203407,Weekday,False,2,True,0,0,10,97,1,1.22659984457793,0.487337981301827
Amsterdam,909.474374897476,Weekday,False,4,True,1,0,10,98,2,2.61870940136058,0.430830755833167
Amsterdam,264.101422445106,Weekday,False,2,True,0,0,10,98,1,2.85095702392196,1.07203671962072
Amsterdam,196.611440489302,Weekday,False,2,True,1,0,10,97,1,10.7234832523964,0.454562565906057
Amsterdam,700.442903006585,Weekday,False,4,True,0,0,9,97,2,4.93449370488713,1.01423404256336
Amsterdam,307.22002202798,Weekday,False,2,True,0,0,10,99,1,3.81630113611216,2.64240720141793
