,Variabile,Cutoff,N,Events,% of Events,Non-Events,% of Non-Events,WoE,IV
0,Price,"(34.778000000000006, 109.224]",4172,1149,0.09855047602710353,3023,0.10058226584594909,-0.020407094390731295,4.1462926615308325e-05
1,Price,"(109.224, 133.254]",4171,1241,0.10644137576121451,2930,0.09748793877890534,0.0878657057334653,0.0007867000591907034
2,Price,"(133.254, 155.567]",4172,1393,0.1194785144523544,2779,0.09246381633671602,0.25631916657727327,0.006924384906337064
3,Price,"(155.567, 178.555]",4174,1267,0.10867141264259371,2907,0.09672267509565796,0.1164809023022344,0.0013917997308396629
4,Price,"(178.555, 203.819]",4170,1244,0.10669868770906596,2926,0.09735484944268841,0.09164631425902625,0.0008563283381459522
5,Price,"(203.819, 233.792]",4174,1245,0.10678445835834978,2929,0.09745466644485111,0.09142508461104537,0.0008529770150950628
6,Price,"(233.792, 272.538]",4177,1162,0.09966549446779312,3015,0.10031608717351523,-0.006506549209458701,4.233113455095799e-06
7,Price,"(272.538, 330.7]",4163,1080,0.09263230122652029,3083,0.10257860588920313,-0.10199148522791379,0.0010144383850763472
8,Price,"(330.7, 452.046]",4172,975,0.0836263830517197,3197,0.10637165197138579,-0.24058005552202344,0.005472058059556623
9,Price,"(452.046, 18545.45]",4169,903,0.07745089630328501,3266,0.10866744302112794,-0.3386480975734538,0.01057142415881035
0,Day,Weekday,20886,5914,0.5072476198644824,14972,0.49815338545999,0.01809125392807409,0.0001645261038931
1,Day,Weekend,20828,5745,0.49275238013551764,15083,0.50184661454001,-0.018287747945425203,0.0001663130665459704
0,Shared Room,False,41398,11624,0.9969980272750665,29774,0.9906504741307602,0.006387019353087368,4.0541944777434526e-05
1,Shared Room,True,316,35,0.0030019727249335276,281,0.009349525869239728,-1.1360559853043615,0.007211175741626578
0,Person Capacity,2,18126,4684,0.4017497212453898,13442,0.44724671435701213,-0.10728106527233217,0.004880965887702799
1,Person Capacity,3,5292,1513,0.1297709923664122,3779,0.12573615039094993,0.031585632978837985,0.00012744303776456112
2,Person Capacity,4,12162,3630,0.31134745690024873,8532,0.2838795541507237,0.09235947020762625,0.002536920945660733
3,Person Capacity,5,2542,785,0.06732995968779483,1757,0.05845949093328897,0.14127125213528213,0.0012531422279759394
4,Person Capacity,6,3592,1047,0.0898018698001544,2545,0.08467809016802529,0.058748904425884874,0.0003010164399072485
0,Multiple Rooms,0,29397,7473,0.6409640620979501,21924,0.7294626518050241,-0.12933477969574586,0.011445945603148622
1,Multiple Rooms,1,12317,4186,0.3590359379020499,8131,0.2705373481949759,0.2830123293380784,0.02504619201613391
0,Business,0,27482,8497,0.7287932069645767,18985,0.6316752620196306,0.1430145888776097,0.013889282968939798
1,Business,1,14232,3162,0.2712067930354233,11070,0.3683247379803693,-0.30608338539329416,0.02972618937118864
0,Cleanliness Rating,2,88,1,8.577064928381508e-05,87,0.00289469306271835,-3.518957496114612,0.009884478582759803
1,Cleanliness Rating,3,6,0,4.288532464190754e-05,6,0.00019963400432540342,-1.537956027248029,0.00024107257668240316
